time(s);category;event;details
17390;COMM;STATE_CHANGE;Receiver->Re/Tr
17400;COMM;STATE_CHANGE;Re/Tr->Receiver
17400;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#48
17410;COMM;STATE_CHANGE;Receiver->Re/Tr
17420;COMM;STATE_CHANGE;Re/Tr->Receiver
17420;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#49
17430;COMM;STATE_CHANGE;Receiver->Re/Tr
17440;COMM;STATE_CHANGE;Re/Tr->Receiver
17440;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#50
17450;COMM;STATE_CHANGE;Receiver->Re/Tr
17460;COMM;STATE_CHANGE;Re/Tr->Receiver
17460;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#51
17470;COMM;STATE_CHANGE;Receiver->Re/Tr
17480;COMM;STATE_CHANGE;Re/Tr->Receiver
17480;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#52
17490;COMM;STATE_CHANGE;Receiver->Re/Tr
17500;COMM;STATE_CHANGE;Re/Tr->Receiver
17500;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#53
17510;COMM;STATE_CHANGE;Receiver->Re/Tr
17520;COMM;STATE_CHANGE;Re/Tr->Receiver
17520;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#54
17530;COMM;STATE_CHANGE;Receiver->Re/Tr
17540;COMM;STATE_CHANGE;Re/Tr->Receiver
17540;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#55
17550;COMM;STATE_CHANGE;Receiver->Re/Tr
17560;COMM;STATE_CHANGE;Re/Tr->Receiver
17560;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#56
17570;COMM;STATE_CHANGE;Receiver->Re/Tr
17580;COMM;STATE_CHANGE;Re/Tr->Receiver
17580;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#57
17590;COMM;STATE_CHANGE;Receiver->Re/Tr
17600;COMM;STATE_CHANGE;Re/Tr->Receiver
17600;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#58
17610;COMM;STATE_CHANGE;Receiver->Re/Tr
17620;COMM;STATE_CHANGE;Re/Tr->Receiver
49150;COMM;STATE_CHANGE;Receiver->Re/Tr
49660;COMM;STATE_CHANGE;Re/Tr->Receiver
49660;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#59
49670;COMM;STATE_CHANGE;Receiver->Re/Tr
49680;COMM;STATE_CHANGE;Re/Tr->Receiver
49680;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#60
49690;COMM;STATE_CHANGE;Receiver->Re/Tr
49700;COMM;STATE_CHANGE;Re/Tr->Receiver
49700;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#61
49710;COMM;STATE_CHANGE;Receiver->Re/Tr
49720;COMM;STATE_CHANGE;Re/Tr->Receiver
49720;SECURITY;COMM_VIOLATION;enforcing_COM_T_ON;count#62
49730;COMM;STATE_CHANGE;Receiver->Re/Tr
